shares,category,weekday,num_videos,num_imgs,num_keywords,n_tokens_title,n_tokens_content,kwshares_avg
2300,lifestyle,wednesday,0,1,9,9,455,1366.7938
575,entertainment,wednesday,0,0,8,9,81,1334.27
1800,entertainment,wednesday,0,1,4,11,308,1644.3611
1600,tech,wednesday,0,0,10,11,235,960.98602
1900,tech,wednesday,0,1,6,13,141,1166.8171
5600,world,wednesday,1,1,7,6,389,514.93896
1500,world,wednesday,0,1,8,10,261,886.66339
9200,socialmedia,wednesday,0,1,6,9,100,1071.7074
6000,world,wednesday,0,8,6,7,105,2193.5776
752,lifestyle,wednesday,0,11,9,10,258,1222.8899
19400,entertainment,wednesday,3,0,10,10,254,1374.7872
1700,lifestyle,wednesday,0,1,7,14,318,815.9696
1600,tech,wednesday,0,19,9,9,965,1319.9027
788,tech,wednesday,0,20,7,11,1030,1640.0931
454,entertainment,wednesday,0,0,10,9,231,1442.8833
1100,tech,wednesday,0,28,9,8,935,1516.2079
2800,tech,wednesday,1,1,7,10,701,1057.9955
1600,world,wednesday,1,11,8,13,328,1470.3959
2000,world,wednesday,1,10,7,13,281,4794.9814
412,world,wednesday,0,1,6,12,537,855.01453
1100,world,wednesday,0,0,10,10,259,503.35443
417,world,wednesday,0,26,5,12,1455,1746.2075
1600,socialmedia,wednesday,0,8,6,10,1596,1564.274
2500,business,wednesday,0,1,3,6,164,1069.2148
474,business,wednesday,0,1,6,10,424,534.60742
2100,entertainment,wednesday,0,1,4,8,345,1169.3611
513,world,wednesday,1,0,6,10,138,5050.7358
10400,world,wednesday,0,1,7,11,459,847.42065
2200,world,wednesday,0,15,9,8,794,1553.8296
5600,tech,wednesday,0,1,8,11,291,773.77118
373,world,wednesday,0,1,4,10,614,1182.5718
1000,lifestyle,wednesday,0,1,10,7,144,1268.6665
3200,entertainment,wednesday,0,0,5,12,249,1261.1089
657,world,wednesday,1,0,6,7,142,3324.3481
2100,tech,wednesday,0,1,7,10,221,1309.2219
727,tech,wednesday,0,1,10,9,82,1349.2045
350,entertainment,wednesday,0,13,10,11,289,424.34445
1900,business,wednesday,0,1,10,11,173,955.26447
1200,tech,wednesday,0,20,6,10,957,1709.4288
2800,world,wednesday,0,1,5,10,372,758.85748
341,world,wednesday,0,1,9,8,640,927.0531
648,business,wednesday,0,1,7,9,330,929.5235
1300,tech,wednesday,0,9,10,8,453,1328.2291
1000,tech,wednesday,0,20,7,11,1265,1481.0426
1300,tech,wednesday,0,20,7,12,981,2007.8359
1700,business,wednesday,0,1,6,10,381,1062.1908
4600,tech,wednesday,0,0,10,12,292,1072.3892
2700,entertainment,wednesday,0,1,4,9,165,1312.6111
1700,lifestyle,wednesday,0,19,10,8,1020,1273.22
450,world,wednesday,1,1,7,9,230,611.29614
939,lifestyle,wednesday,0,0,6,8,123,1647.0408
1600,tech,wednesday,0,1,9,8,258,1297.4711
866,lifestyle,wednesday,0,19,10,12,983,1007.0128
606,business,wednesday,0,1,6,12,180,1245.4718
5000,entertainment,wednesday,0,8,9,11,272,1074.6685
11500,entertainment,wednesday,0,15,10,11,277,580.34442
529,world,wednesday,0,1,7,11,365,732.86963
28000,world,wednesday,1,0,9,14,114,3669.521
1700,lifestyle,wednesday,0,20,10,11,1058,1431.0602
761,lifestyle,wednesday,0,1,10,8,211,1525.1165
958,business,wednesday,0,0,8,12,373,941.78058
904,entertainment,thursday,0,1,8,7,144,2143.8308
1200,world,thursday,16,0,8,9,760,2180.3999
4500,entertainment,thursday,0,1,5,13,204,1354.1295
1200,business,thursday,0,1,7,15,481,2060.6284
427,entertainment,thursday,0,1,6,12,246,1544.8621
1300,tech,thursday,1,1,6,10,182,1254.6755
3200,business,thursday,0,1,9,10,498,1022.6315
377,lifestyle,thursday,0,1,7,7,175,924.26154
3400,entertainment,thursday,0,0,9,7,252,1756.2125
972,lifestyle,thursday,0,1,6,9,334,1746.6121
979,world,thursday,21,0,6,10,283,2316.2998
737,business,thursday,0,1,7,12,284,1434.5548
3800,business,thursday,0,20,5,11,1077,1942.7729
396,tech,thursday,0,19,10,6,1160,1554.6584
1700,tech,thursday,0,1,7,10,289,2618.9707
676,entertainment,thursday,3,1,5,11,848,1496.7531
2900,tech,thursday,0,0,6,12,211,2249.2253
2500,tech,thursday,0,1,8,10,951,1136.564
1400,tech,thursday,0,0,8,11,286,976.91345
484,entertainment,thursday,0,11,10,13,577,2482.0298
7500,entertainment,thursday,0,6,6,7,505,1212.9413
441,business,thursday,0,1,5,8,255,1325.2168
922,lifestyle,thursday,0,0,9,14,252,988.27527
473,world,thursday,0,1,7,9,757,1059.748
3200,world,thursday,0,0,5,9,152,2868.3389
1600,world,thursday,0,1,5,10,357,1084.3673
1300,world,thursday,21,0,6,13,326,2451.1389
1300,lifestyle,thursday,0,20,10,8,1314,1322.7018
5600,lifestyle,thursday,0,1,8,6,397,835.29132
8100,tech,thursday,0,10,8,8,767,1755.0864
5500,world,thursday,0,1,7,10,317,1575.5548
3800,world,thursday,1,10,4,9,245,3363.2996
933,entertainment,thursday,0,1,7,10,891,974.25183
2500,tech,thursday,0,1,10,7,1121,924.82166
1700,business,thursday,0,1,6,11,993,1196.0973
2400,tech,thursday,0,1,9,13,309,1184.2457
11400,lifestyle,thursday,0,1,9,9,174,1616.7686
308,world,thursday,0,1,7,11,159,1063.1826
1400,world,thursday,0,15,7,8,449,1899.6923
762,entertainment,thursday,1,0,7,13,243,1551.7001
1200,entertainment,thursday,1,1,6,9,222,1256.583
657,business,thursday,1,0,8,12,160,1262.0671
1200,entertainment,thursday,3,11,9,8,1015,2215.8499
11800,lifestyle,thursday,0,1,10,8,344,824.46362
2400,lifestyle,thursday,0,20,9,10,1028,1811.4253
794,business,thursday,1,0,7,11,347,1210.7389
1500,tech,thursday,0,20,9,8,848,1761.3739
1300,business,thursday,0,1,5,11,255,1072.8168
1200,world,thursday,0,1,6,8,424,1223.2408
1900,tech,thursday,0,5,8,8,1289,1228.6027
1500,world,thursday,0,1,6,10,286,1236.3727
698,business,thursday,0,1,5,10,347,1085.8268
1100,world,thursday,11,0,7,10,280,2622.0354
742,entertainment,thursday,0,1,10,8,396,1672.4341
2000,entertainment,thursday,0,1,10,7,665,2729.9648
1000,entertainment,thursday,0,1,9,7,428,2324.9978
1500,business,thursday,0,1,8,10,727,1441.3408
1200,lifestyle,thursday,0,1,10,12,270,1003.9511
751,world,thursday,11,1,8,8,322,1803.2173
775,socialmedia,thursday,0,1,7,7,518,1861.7433
569,business,thursday,0,1,4,16,487,887.896
3000,world,thursday,0,1,6,11,264,1731.7551
1500,tech,thursday,0,1,8,11,149,1376.6792
1100,world,thursday,1,0,6,12,62,2242.2
979,world,thursday,1,0,5,8,75,2966.7642
802,business,thursday,1,0,6,16,143,1682.7561
2300,tech,thursday,0,19,8,7,1154,1579.2786
835,tech,thursday,0,34,8,8,1303,1455.5995
2000,business,thursday,0,1,8,8,494,850.40112
12000,world,thursday,1,0,5,12,213,2084.4702
423,tech,thursday,1,1,7,11,180,1421.749
1000,entertainment,thursday,1,0,10,6,106,2598.5173
1600,business,thursday,0,1,3,7,606,1685.528
1400,world,thursday,21,0,7,9,339,2914.0928
2400,lifestyle,thursday,0,1,6,8,279,867.33521
1200,tech,thursday,0,0,6,9,340,1411.9637
1500,tech,thursday,0,1,6,8,962,1308.9103
1400,tech,thursday,0,0,9,12,135,1568.4041
1000,tech,thursday,0,1,6,12,185,1004.0444
400,business,thursday,0,1,6,12,344,1237.764
1700,business,friday,0,1,10,12,698,1268.293
3200,world,friday,12,0,7,13,310,2564.6433
1100,world,friday,0,1,5,8,461,1674.3254
4400,tech,friday,0,0,10,9,318,1734.4363
1400,world,friday,21,0,7,10,294,3131.9841
924,business,friday,0,1,8,9,930,1350.0187
1900,business,friday,0,1,7,10,682,1119.5499
1300,lifestyle,friday,0,1,10,10,349,1496.1187
1300,tech,friday,0,19,9,5,1302,1703.1742
1800,tech,friday,0,1,6,13,220,1578.6594
37400,entertainment,friday,0,0,10,13,140,2873.2581
18000,entertainment,friday,1,1,10,12,341,1122.5344
2500,world,friday,0,13,9,9,537,1115.1434
18200,socialmedia,friday,0,1,4,8,358,2209.9485
924,entertainment,friday,0,1,10,11,221,2496.2461
730,tech,friday,0,1,5,10,195,1315.5249
3500,lifestyle,friday,0,1,7,10,604,1237.3218
1900,tech,friday,0,1,8,11,707,1433.0468
614,world,friday,0,1,6,10,331,1036.2091
2900,tech,friday,0,18,8,9,529,1170.6576
1600,socialmedia,friday,0,1,8,6,358,1397.9117
1100,world,friday,1,1,8,11,877,956.79376
1100,lifestyle,friday,0,0,7,8,270,1317.2349
2200,world,friday,0,7,6,14,233,1919.2943
582,entertainment,friday,7,0,9,8,264,2855.0786
1000,entertainment,friday,1,0,10,8,148,3087.2847
1700,entertainment,friday,0,1,6,10,315,1393.3069
720,world,friday,0,1,7,14,696,776.07721
19800,world,friday,1,0,7,11,98,2552.1577
1500,lifestyle,friday,0,1,10,7,719,1463.2928
3000,tech,friday,0,28,10,11,1364,1551.4211
2500,tech,friday,0,33,10,11,1408,1572.6653
4400,world,friday,11,0,7,12,324,2912.0776
1400,entertainment,friday,0,1,9,11,257,2784.6938
1600,tech,friday,0,1,7,9,328,2071.9866
2100,business,friday,0,1,6,10,204,1183.5665
1100,lifestyle,friday,0,1,5,10,230,1297.4506
2100,tech,friday,0,25,10,12,996,1967.0922
840,tech,friday,1,19,8,13,578,1483.9244
1100,tech,friday,0,20,9,11,1175,1521.4036
1600,world,friday,0,1,7,11,291,776.07721
2100,world,friday,0,0,6,10,416,1403.91
2200,world,friday,0,1,8,8,208,1346.6405
9000,socialmedia,friday,0,0,9,11,151,1385.1034
622,world,friday,11,0,5,12,337,2700.1899
1000,tech,friday,0,1,10,13,178,1375.6295
658,tech,friday,0,26,6,9,787,1834.3392
1400,tech,friday,0,0,9,6,325,1589.1827
1500,tech,friday,0,4,10,10,476,1282.4736
2300,tech,friday,0,7,10,12,470,1466.5261
5200,world,friday,10,1,10,8,252,2577.8994
5300,world,saturday,0,1,5,7,203,1480.0012
1600,tech,saturday,0,1,6,11,351,1603.7045
6300,world,saturday,0,11,9,11,566,1758.9276
2000,tech,saturday,0,21,7,13,297,1731.0996
2300,world,saturday,0,1,10,8,104,2342.0557
1900,tech,saturday,0,1,9,9,1438,1684.7787
1700,socialmedia,saturday,0,1,8,13,293,2187.2546
1600,tech,saturday,0,26,8,7,655,2217.032
1400,business,saturday,0,1,9,10,995,1457.9711
2100,business,saturday,0,0,9,14,138,1394.3643
3400,tech,saturday,0,20,8,13,1081,1604.7626
1000,tech,saturday,0,0,10,12,321,1491.2129
1800,tech,saturday,0,20,10,10,910,1232.7823
25200,world,saturday,0,1,8,13,747,1831.9636
15700,lifestyle,saturday,0,19,10,10,1159,1402.7823
1700,world,saturday,0,0,9,11,147,3181.6011
2700,world,saturday,1,0,8,12,138,2170.312
5400,tech,saturday,0,11,10,9,738,1868.4827
1300,tech,saturday,0,20,5,7,935,1533.2981
3800,tech,saturday,1,20,8,10,1036,2010.179
7900,world,sunday,0,1,5,10,996,1295.1199
731,world,sunday,0,1,10,10,331,2231.6013
1900,world,sunday,0,9,6,10,497,2000.217
3100,business,sunday,0,1,9,9,678,1549.4003
1900,lifestyle,sunday,0,11,8,7,211,1470.1757
9700,lifestyle,sunday,0,20,10,9,1821,1707.2079
3400,world,sunday,0,0,6,12,190,2410.7258
894,entertainment,sunday,2,1,7,13,174,1375.224
1300,entertainment,sunday,2,16,10,10,1245,2574.2659
2100,world,sunday,0,1,10,16,83,1460.0149
12100,tech,sunday,0,1,6,11,400,743.54517
1400,world,sunday,10,1,10,6,279,3572.8303
3700,world,sunday,0,7,6,9,180,2705.8672
2200,lifestyle,sunday,0,6,10,12,771,1556.1458
1300,entertainment,sunday,0,1,8,12,327,4179.3628
1600,tech,sunday,0,1,8,10,536,1111.9298
1400,world,sunday,0,1,6,10,713,2254.8999
14300,socialmedia,sunday,0,6,7,10,456,2376.8232
33100,lifestyle,sunday,0,11,10,11,416,2110.3679
3400,world,sunday,0,12,10,12,1267,1888.3917
5400,world,sunday,1,0,5,10,165,3261.0361
5600,world,sunday,0,10,6,11,227,1878.6766
618,world,sunday,0,0,7,9,120,3342.6594
2300,entertainment,sunday,0,6,8,14,268,2071.2156
8000,tech,monday,0,18,10,9,695,2023.6768
630,world,monday,0,1,4,11,501,3579.6943
2900,world,monday,1,0,7,9,282,2873.3628
5800,business,monday,0,1,4,14,375,1323.5415
2000,world,monday,0,1,6,10,324,2386.4629
1900,business,monday,0,10,6,11,792,2080.1558
909,business,monday,0,1,5,12,230,1953.0269
705,lifestyle,monday,0,1,10,13,732,1947.8329
2700,lifestyle,monday,0,1,7,10,350,1520.0394
699,world,monday,0,1,4,12,315,2584.1223
2100,entertainment,monday,1,1,9,11,317,2628.2803
1900,world,monday,0,1,8,11,419,1547.8889
636,business,monday,0,1,5,8,275,1844.6831
432,entertainment,monday,1,0,5,13,197,2335.7288
3000,entertainment,monday,0,1,7,8,1046,2325.6475
621,business,monday,0,1,6,11,732,1473.9832
5300,lifestyle,monday,0,0,9,14,207,1711.674
1600,tech,monday,0,1,5,8,434,1425.6964
1700,world,monday,0,0,8,9,276,1603.8307
649,business,monday,0,1,4,12,497,1516.829
476,business,monday,0,1,3,9,91,1393.1886
1300,business,monday,1,0,10,11,176,1831.8679
1900,entertainment,monday,0,1,10,12,415,3251.7585
1700,tech,monday,0,1,9,12,1298,1733.8823
1800,world,monday,0,1,5,13,273,1260.3737
586,world,monday,0,1,7,10,601,1456.8683
1100,business,monday,0,1,8,7,221,1143.7854
992,socialmedia,monday,0,1,5,10,205,1454.9
950,entertainment,monday,1,1,5,11,469,1880.9047
903,world,monday,1,0,5,13,208,3065.1311
1500,tech,monday,0,1,6,9,349,1048.7898
1700,entertainment,monday,0,12,6,5,651,1228.1053
1600,business,monday,0,1,3,10,374,2947.9663
1500,world,monday,0,0,10,8,264,3297.7375
1200,entertainment,monday,0,16,10,8,1202,3756.3093
1300,lifestyle,monday,1,1,5,10,203,2318.375
1300,tech,monday,1,1,7,9,652,1818.7344
862,entertainment,monday,0,1,10,9,714,3210.2332
1200,business,monday,1,1,10,8,1579,1295.1508
2600,lifestyle,monday,0,19,10,11,955,2224.7534
4900,socialmedia,monday,0,12,7,8,701,2621.4709
1900,tech,monday,0,27,10,8,633,1532.9119
2700,tech,monday,0,26,10,10,604,1763.9066
1100,business,monday,0,1,7,12,876,1782.438
3000,entertainment,monday,0,1,6,12,528,2740.8779
727,world,monday,10,0,4,10,342,3262.0239
1100,entertainment,monday,0,1,4,12,513,1850.3599
498,lifestyle,monday,0,1,9,12,324,1627.0773
1300,tech,monday,0,1,5,9,187,2082.1345
1300,world,monday,0,13,6,12,291,3220.9363
1400,entertainment,monday,0,5,8,9,334,921.07898
884,world,monday,1,14,6,11,298,2141.5562
1200,world,monday,0,1,6,11,276,2009.3744
645,world,monday,0,26,7,11,1383,2268.7852
429,world,monday,21,0,6,10,260,3208.9719
39400,entertainment,monday,1,1,6,13,749,2246.6572
811,business,monday,0,1,6,9,286,1025.5168
5200,tech,monday,0,1,5,11,121,1534.3048
756,tech,monday,0,1,8,13,109,1322.3088
498,business,monday,0,1,3,9,303,2051.0337
2200,world,monday,0,26,7,12,1550,2678.2415
1300,lifestyle,monday,0,0,9,10,223,1711.6001
440,entertainment,monday,0,0,10,11,170,1465.5001
983,business,monday,0,1,5,11,722,1067.1332
2800,tech,monday,0,1,5,9,388,2740.7368
1200,tech,monday,0,1,6,10,364,1606.338
1300,tech,monday,0,42,6,7,1160,1681.338
423,entertainment,monday,0,1,4,9,354,2150.3599
735,business,monday,1,0,7,13,149,2066.3167
1100,world,monday,2,0,9,12,225,2181.6709
718,world,monday,0,1,6,9,281,3172.7483
1400,socialmedia,monday,0,9,8,12,596,2366.5786
1100,socialmedia,monday,0,11,10,8,263,1956.3148
544,world,monday,12,0,9,8,272,2129.407
2400,world,monday,0,1,7,10,658,2855.1482
6000,socialmedia,monday,0,1,7,9,563,1642.4102
1200,socialmedia,monday,0,1,4,11,372,2426.9021
2300,lifestyle,monday,0,1,5,9,452,1783.2301
581,world,tuesday,0,1,5,12,400,2769.6057
6800,tech,tuesday,0,1,4,11,1475,2868.8723
752,entertainment,tuesday,1,1,6,9,462,2281.5234
866,lifestyle,tuesday,0,1,10,8,293,2734.311
5000,world,tuesday,26,0,6,12,965,2478.3335
1200,entertainment,tuesday,0,1,6,10,960,2547.4653
3200,world,tuesday,0,0,5,13,200,2903.9265
442,lifestyle,tuesday,0,0,10,9,446,1547.3822
2900,business,tuesday,0,1,5,10,462,3037.073
1100,world,tuesday,0,1,5,11,144,1968.4136
2200,world,tuesday,0,1,5,13,171,2517.7385
1900,tech,tuesday,0,0,8,7,354,2025.589
2400,business,tuesday,1,0,7,7,432,1691.0032
730,entertainment,tuesday,2,1,5,11,327,2767.4749
5900,tech,tuesday,0,11,10,8,1338,2050.2866
458,world,tuesday,0,1,4,12,803,2555.5073
2100,business,tuesday,0,1,8,11,389,1491.4569
1600,lifestyle,tuesday,0,1,7,11,400,1367.5914
462,world,tuesday,0,1,9,12,537,2240.3733
2500,tech,tuesday,1,0,8,12,193,2102.219
1900,entertainment,tuesday,1,1,6,11,231,2175.5811
593,entertainment,tuesday,0,9,5,10,356,1487.6198
1300,lifestyle,tuesday,0,1,8,10,579,2275.0933
5400,socialmedia,tuesday,0,1,6,9,912,2633.1157
1100,business,tuesday,0,1,4,8,408,3254.8279
3800,socialmedia,tuesday,1,0,6,11,403,2378.6838
725,business,tuesday,0,1,5,9,306,2207.2383
787,business,tuesday,0,1,5,10,291,2124.916
8900,socialmedia,tuesday,0,1,5,7,437,2344.064
5500,socialmedia,tuesday,1,1,4,5,141,3577.1523
1900,business,tuesday,0,1,7,10,253,1893.2926
463,world,tuesday,1,1,7,9,286,2256.8455
368,entertainment,tuesday,0,1,7,11,182,1108.5938
1300,tech,tuesday,0,0,8,12,310,1825.9089
957,world,tuesday,1,0,8,13,155,2770.0708
1200,socialmedia,tuesday,0,11,8,9,344,2843.7976
484,world,tuesday,0,1,7,10,381,1762.5179
17100,tech,tuesday,0,1,6,9,282,2233.1814
2300,business,tuesday,0,1,6,9,641,1367.2094
2300,socialmedia,tuesday,0,10,5,8,478,3137.9185
3100,tech,tuesday,1,0,5,15,184,1983.3806
2400,lifestyle,tuesday,0,1,8,11,408,1413.3734
1100,world,tuesday,0,1,5,10,463,2477.7385
568,entertainment,tuesday,0,1,7,10,678,2668.8542
4200,tech,tuesday,0,0,8,9,187,1997.4392
2200,entertainment,tuesday,0,0,10,10,358,2558.7678
968,lifestyle,tuesday,1,0,7,8,291,2312.2058
1800,business,tuesday,0,1,7,8,226,1565.5376
2000,business,tuesday,0,1,8,11,220,1433.7404
768,world,tuesday,0,1,6,9,394,1996.6155
635,world,tuesday,0,1,5,11,156,2243.3372
1000,lifestyle,tuesday,0,1,7,10,415,1457.7786
4800,socialmedia,tuesday,0,17,8,10,549,2151.3994
685,tech,tuesday,0,1,8,9,1089,1459.4594
1500,world,tuesday,9,1,10,8,615,2382.3691
6300,world,tuesday,0,10,8,6,535,2558.5618
2000,world,tuesday,1,0,8,9,410,2078.4668
902,lifestyle,tuesday,0,1,9,9,448,2589.2109
1200,world,tuesday,0,1,10,12,986,784.20679
1700,tech,tuesday,0,13,7,9,679,1260.6891
1000,tech,tuesday,0,0,10,10,232,2429.9763
824,socialmedia,tuesday,0,20,7,11,1069,2283.6931
2500,world,tuesday,0,1,7,6,1060,1672.5764
2900,world,tuesday,12,0,6,6,301,2802.6555
933,business,tuesday,0,1,7,10,537,1512.4471
480,world,tuesday,1,15,5,8,286,2505.21
3200,tech,tuesday,0,0,10,11,182,2488.9043
1000,world,tuesday,0,0,7,10,120,2471.3765
660,world,tuesday,1,1,3,11,241,1947.6886
1800,lifestyle,tuesday,0,1,6,9,420,2039.0599
2600,world,tuesday,0,1,8,11,402,1889.0408
757,world,tuesday,0,1,9,11,660,2041.7032
1300,business,tuesday,0,1,8,15,233,1333.2913
514,world,tuesday,1,15,6,8,288,2929.4541
2100,world,tuesday,0,1,7,8,744,1939.9562
1200,entertainment,tuesday,0,1,5,9,282,2306.6943
1900,business,wednesday,0,5,5,10,275,2005.1018
2600,tech,wednesday,0,16,6,10,422,1251.3137
615,world,wednesday,0,1,6,12,588,2024.7727
504,tech,wednesday,0,0,7,7,457,1832.3549
1300,tech,wednesday,0,5,6,11,233,2650.6699
1400,entertainment,wednesday,0,1,8,9,134,2493.2542
2200,lifestyle,wednesday,0,1,7,12,339,2116.9773
1300,lifestyle,wednesday,0,1,10,8,808,1183.9091
1400,tech,wednesday,0,1,7,11,325,1675.2419
2500,entertainment,wednesday,0,1,5,8,320,2204.5881
1500,business,wednesday,0,1,9,9,963,1796.4888
416,world,wednesday,0,1,9,12,1197,1286.5497
900,world,wednesday,1,16,7,11,477,3167.0742
529,world,wednesday,0,1,8,8,1179,1630.7919
354,business,wednesday,0,1,5,5,256,3278.4941
483,lifestyle,wednesday,0,0,10,10,226,2404.9004
575,tech,wednesday,0,0,7,8,174,2253.4041
1700,world,wednesday,21,0,6,11,282,3052.9731
3400,world,wednesday,11,0,8,9,258,2421.4043
10400,lifestyle,wednesday,0,1,8,7,1901,1726.2117
2500,lifestyle,wednesday,0,1,6,6,448,2449.071
1600,business,wednesday,0,1,5,8,365,2609.4792
1200,tech,wednesday,0,1,6,11,185,2250.7617
2100,socialmedia,wednesday,0,1,5,9,1224,3562.55
1200,socialmedia,wednesday,0,1,5,14,316,2276.0161
6400,tech,wednesday,0,1,5,10,308,2256.0967
17300,socialmedia,wednesday,0,1,7,11,278,3103.2578
1300,tech,wednesday,0,1,10,8,263,1251.2578
1400,world,wednesday,0,1,8,13,264,1829.5461
2100,tech,wednesday,0,21,5,9,1096,2116.4641
1900,world,wednesday,0,9,7,11,223,2771.8857
560,world,wednesday,0,1,6,10,611,1763.5657
2900,world,wednesday,0,0,6,8,159,1689.6172
1600,world,wednesday,0,1,7,9,352,1379.103
11400,tech,wednesday,0,0,10,9,284,1131.1262
4500,world,wednesday,0,0,9,8,228,2039.6066
782,world,wednesday,0,1,8,10,82,1978.1152
1300,business,wednesday,0,1,5,10,457,1354.3792
